AMT_CREDIT_MAX_OVERDUE,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CNT_CREDIT_PROLONG,CREDIT_ACTIVE,CREDIT_CURRENCY,CREDIT_DAY_OVERDUE,CUST_ID,DAYS_CREDIT,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,SK_BUREAU_ID,SK_ID_CURR
0,181,7128,1813,0,0,1,USD,0,82555,101,50,0,1,1
0,625,4587,696,19,0,1,USD,60,82559,67,104,0,2,2
0,272,727,2328,0,0,1,USD,0,82561,345,204,0,3,3
0,979,3730,614,0,0,1,USD,0,82564,213,28,0,4,4
0,303,6455,919,0,0,1,USD,0,82565,14,118,175,5,5
0,587,2584,1322,0,0,1,USD,0,82566,82,160,0,6,6
0,298,9810,2425,0,0,1,USD,0,82568,238,74,135,7,7
0,726,8421,1807,25,0,0,USD,52,82571,50,111,95,8,8
0,926,2989,2707,0,0,0,USD,0,82572,71,161,0,9,9
0,273,434,2226,0,0,1,USD,0,82574,53,123,0,10,10
0,398,6695,2993,0,0,1,USD,0,82578,39,246,240,11,11
0,352,1807,767,0,0,1,USD,0,82579,38,170,0,12,12
0,291,2823,2112,0,0,1,USD,0,82580,48,434,0,13,13
0,136,1540,2793,0,0,1,USD,0,82581,7,204,0,14,14
0,723,3114,113,0,0,1,USD,0,82582,70,187,0,15,15
0,677,8589,2589,0,0,1,USD,0,82586,1,106,0,16,16
0,129,1085,83,0,0,1,USD,0,82587,55,176,0,17,17
0,295,4304,1081,0,0,1,USD,0,82589,39,120,0,18,18
0,909,6298,2852,0,0,1,USD,0,82593,127,114,0,19,19
0,453,7599,1223,0,0,1,USD,0,82594,106,53,35,20,20
0,308,7038,2731,0,82,0,USD,0,82595,156,113,0,21,21
0,279,4477,2454,0,0,1,USD,0,82598,168,47,0,22,22
0,973,6028,1781,0,0,1,USD,0,82600,5,111,0,23,23
8412,317,2790,1281,0,0,1,USD,0,82601,57,108,0,24,24
0,924,4412,2476,0,0,0,USD,0,82602,284,98,0,25,25
0,891,7580,483,0,60,1,USD,0,82603,17,108,320,26,26
0,999,3771,53,0,0,0,USD,0,82604,116,114,0,27,27
0,687,4461,155,0,0,1,USD,0,82607,40,132,0,28,28
0,413,1537,1942,0,0,1,USD,0,82608,36,295,0,29,29
0,981,9337,1726,0,0,0,USD,0,82610,117,15,0,30,30
0,421,9423,2298,0,0,1,USD,0,82611,116,76,365,31,31
0,430,1906,2058,0,0,1,USD,0,82616,23,111,0,32,32
0,79,5379,869,0,0,0,USD,0,82617,102,138,0,33,33
0,999,8046,166,0,0,1,USD,0,82619,183,373,-130,34,34
