book_per_share,cash_per_share,cluster_id,current_ratio,debt_to_equity,div_payout_ratio,marketcap,operating_margin,pb,pe_forward,peg,profit_margin,ps_t12m,roa,roe,ticker
16.84,1.83,1,2.082,41.847,0.2756,7892376064,0.18396999,16.84,15.367743,2.29,0.1441,2.6709452,0.07063,0.15996,NVT
27.695,20.444,1,0,0,0.2507,717199552,0.54232,27.695,6.5765123,0,0.37597,1.7359637,0.01199,0.13239,DCOM
27.976,14.493,1,4.464,40.198,0.1065,13897649152,0.46041,27.976,9.940027,-0.25,0.29264,1.3453677,0.21872999,0.47645,CF
17.297,10.805,1,3.956,1.038,0,48643973120,0.35705003,17.297,23.376295,2.69,0.31235,10.018128,0.15875,0.31989,ANET
24.128,8.241,1,0,0,0.2913,225919904,0.41974,24.128,12.1965065,0,0.27111,3.659748,0.01097,0.10057,MBCN
0.381,0.053,1,0.759,115.501,0,99953480,-0.7007,0.381,-5.1538463,0,-0.64185995,1.4076964,-0.35342997,-1.12371,ENZ
2.305,2.477,1,2.242,16.196,0,3914383616,-0.31555998,2.305,2407.0,-1.81,-0.28053,7.5243473,-0.16037,-0.35636002,ACAD
1.612,1.542,1,3.811,11.157,0,50437440,-3.55998,1.612,-2.9382718,0,0,9.6494055,-0.42220002,-0.84702003,NSPR
3.355,0.212,1,1.296,334.37,0,66281416,-0.029189998,3.355,-2.3773587,-0.04,-0.0419,0.041716572,-0.02269,-0.31605,BNED
0.301,0.443,1,1.161,154.067,0,85318608,-1.01515,0.301,-1.0113044,-0.09,-1.0429901,0.80592656,-0.25287,-1.08911,VRAY
5.163,5.074,1,2.269,168.283,0,1810836864,0.06428,5.163,12.928057,0.24,0.022809999,0.8395506,0.04394,0.09571,OII
3.773,1.378,1,2.224,40.737,0.2394,60368696,0.0945,3.773,9.644859,0,0.099700004,1.4594148,0.057789996,0.1899,ELTK
31.356,13.168,1,3.812,0,0.1983,2336619520,0.31856,31.356,8.692168,0.01,0.24818,0.76597893,0.37096,0.58949,CALM
35.489,0.041,1,2.992,83.662,0.16600001,713492288,0.0635,35.489,13.406779,0.85,0.03176,0.7325714,0.03934,0.07021,VSEC
31.484,0.14,1,1.085,123.975,0.95699996,3059330304,0.10898,31.484,16.414635,2.74,0.080369994,1.7757978,0.01626,0.059949998,AVA
8.577,0.121,1,0.673,93.983,0.049000002,2905529856,0.5815,8.577,5.5105267,0.58,0.38599998,0.8087104,0.24989,0.80309,CRK
5.284,22.626,1,0,0,0.19950001,57361293312,0.36222,5.284,7.122449,0,0.23091,1.374977,0.0063,0.10821,SAN
35.724,2.183,1,0.862,197.43,1.3127999,26877747200,0.18677999,35.724,13.760785,2.45,0.04867,1.561026,0.026180001,0.04764,EIX
40.602,12.816,1,1.276,40.721,0.0155,5125843456,0.09753,40.602,6.854975,0,0.06981,0.10909857,0.21957001,0.86267,PBF
27.796,3.33,1,2.488,27.43,0.536,9351746560,0.18847999,27.796,8.230769,-8.12,0.14461,0.11551923,0.12949,0.25738,GGB
4.663,0.391,1,1.445,68.26,0,118955504,0.02649,4.663,5.0000005,1.3,-0.00448,0.3163113,0.010190001,-0.00029999999,SRT
1.917715,0.346,1,0.896,90.676,0.96029997,233162440704,0.23098,1.917715,17.615925,1.53,0.10732,5.318486,0.06426,0.1305,AZN
16.366,2.615,1,0.772,229.007,0.096099995,6869903872,0.28767002,16.366,10.044313,1.02,0.18482,1.8777412,0.10462,0.42102,BYD
20.802,3.394,1,2.082,47.669,0.6119,4609295872,0.06723,20.802,9.709925,2.57,0.05244,0.61977893,0.03641,0.07808,HUN
27.973,4.78,1,0.376,37.877,0.28370002,76096151552,0.03004,27.973,16.538168,0.93,0.01644,1.4620296,0.0126600005,0.050440002,PGR
10.04,0.767,1,2.191,13.87,0,434739296,-0.073359996,10.04,-554.0,-14.47,-0.111269996,1.2989856,-0.02826,-0.09002,ANGO
1.604,1.64,1,6.273,34.625,0,194720784,-8.3096,1.604,-1.6590909,0,0,12.813107,-0.34813,-0.75592005,GRTS
6.503,0.269,1,1.715,69.015,0,7226548224,0.09353,6.503,72.00001,-169.9,-0.04409,3.6752012,0.03532,-0.05619,RCM
16.702,0.674,1,3.66,75.953,1.3528999,21137321984,0.28926,16.702,46.48649,3.82,0.17990999,9.253466,0.02229,0.04028,INVH
64.141,335.474,1,0,0,0.6095,60100206592,0.39169997,64.141,8.708333,-18.03,0.29362,2.0858712,0.0064700004,0.11436,BNS
54.938,21.261,1,3.083,6.274,0,20189046784,-0.05185,54.938,14.707393,4.72,0.01487,7.208919,-0.0113699995,0.00709,FSLR
43.448,1.379,1,2.869,155.596,0.1515,1746218880,0.08776,43.448,9.257989,2.11,0.05534,0.3933105,0.08415,0.27765,PATK
24.762,4.701,1,2.081,27.875,0,3798945280,0.11734,24.762,18.594656,1.15,0.02034,2.4452531,0.04966,0.040949997,SPXC
12.395,4.527,1,3.125,170.24,0.1571,609174080,0.113800004,12.395,4.38756,1.1,0.0577,0.2755369,0.060510002,0.16034001,MERC
17.887,3.538,1,1.37,35.724,0.3176,226151120896,0.37995997,17.887,11.445715,-0.79,0.31254,2.4330144,0.11634,0.31619,PFE
9.218,5.645,1,0.528,296.149,2.3214,28556574720,0.23091999,9.218,18.552063,0.96,0.0684,9.054639,0.021140002,0.10809,ARES
1.346,3.553,1,1.531,400.207,0,328185600,0.048800003,1.346,5.784,0.69,0.02152,0.18730986,0.04592,0.19157,DSKE
