MPID,Description
FDSC,"1ST DISCOUNT BROKERAGE, INC."
FGCC,1ST GLOBAL CAP CORP
MNCH,1ST MUNICH CAPITAL LLC
FWWP,"1ST WORLDWIDE FINANCIAL PARTNERS, LLC"
HLTN,"A.B. WATLEY DIRECT, INC."
WONG,A.B. WONG CAPITAL LLC
AJAY,A.J. PACE & CO.
SCHM,A.R. SCHMEIDLER & CO. INC.
FRIS,"A&F FINANCIAL SERVICES, INC."
AICC,ABACUS INTNTL CAP CORP
ABAI,ABACUS INVMTS INC
ANSI,ABBEY NATIONAL SECURITIES INC.
ANOS,ABEL/NOSER CORP.
ABGS,"ABG SUNDAL COLLIER, INC."
AHBI,"ABNER, HERRMAN & BROCK, LLC."
ABFI,ABRAMSON FINANCIAL LLC
AWDI,"ABSHIER WEBB DONNELLY & BAKER, INC."
STLG,ACADEMY SECURITIES INC.
ACAF,ACAP FINANCIAL
MARK,ACCELERATED CAPITAL GROUP
AFGI,ACCESS FINANCIAL GROUP
AXCS,ACCESS SECURITIES INC.
AXCB,"ACCESS SECURITIES, INC."
ACPS,"ACP SECURITIES, LLC"
ACTI,"ACTINVER SECURITIES, INC."
CNCR,"ACTIVA CAPITAL MARKETS, INC."
ARKI,"ADIE, DOUGLAS KEITH"
ADAK,ADIRONDACK TRADING GROUP LLC
ADPS,ADP / SIS
ADPC,"ADP CLEARING & OUTSOURCING SERVICES, INC"
ADVA,"ADVANCED EQUITIES, INC."
FISA,"ADVISORS ASSET MANAGEMENT, INC."
FISB,"ADVISORS ASSET MANAGEMENT, INC."
AGES,ADVISORY GRP EQUITY SVS LTD
AEBC,AEB CORPORATION
AGCC,AEGIS CAPITAL CORP
AGIS,AEGIS CAPITAL CORP
AEGS,"AEGIS INVESTMENTS, INC."
AFBS,AFFINA BROKERAGE SERVICES LLC
AFIS,"AFFINITY INVESTMENT SERVICES,LLC"
AGBD,"AG BD, LLC"
ATGP,"AGENCY TRADING GROUP, INC."
AGFS,"AIG FINANCIAL SECURITIES, INC."
AKCA,AK CAPITAL LLC
ALAN,ALADDIN CAPITAL LLC
ALAC,ALAMO CAPITAL
DDAY,ALARIS TRADING PARTNERS LLC
AFCO,"ALBERT FRIED & COMPANY, LLC"
FNBS,ALERUS SECURITIES CORPORATION
TRUE,ALETHEIA SECURITIES INC.
ACLP,"ALEXANDER CAPITAL, LP"
ALIS,ALEXANDER INVESTMENT SERVICES CO.
AFIN,"ALL FUNDS, INC.                        ("
ACLC,ALLEGANCE CAP LLC
ALLE,ALLEGHENY INVTS
ASLL,ALLEGIANT SECURITIES LLC
ALLN,ALLEN & COMPANY LLC
ALEN,"ALLEN & COMPANY OF FLORIDA, INC."
ACEJ,ALLEN C. EWING & CO.
AMBB,"ALLEN, MOONEY & BARNES BROKERAGE SERICES"
ALAD,ALLIANCE ADVISORY & SECURITIES INC
AKGS,"ALLIANCE FINANCIAL GROUP, INC."
BZTN,"ALLIANT SECURITIES INC., TURNER, NORD, K"
AAMI,ALLIED ASSET MANAGEMENT INC
LAGI,ALLSTATE FINL SVS LTD LIABILITY CO
ALLU,ALLUVION SECURITIES
ALPN,"ALPINE ASSOCIATES, LIMITED PARTNERSHIP"
APTR,ALPINE PARTNERS LP
ALPS,ALPINE SECURITIES CORPORATION
AVFI,ALTA VISTA FINANCIAL INC.
ASGI,ALTON SECURITIES GROUP INC
AFGT,AMBASSADOR FINANCIAL GROUP INC
SWTX,"AMEGY INVESTMENTS, INC."
AIII,"AMERICA INVEST ONLINE, INC."
ABPI,"AMERICAN BEACON PARTNERS, INC"
ACPL,"AMERICAN CAPITAL PARTNERS, LLC"
ACBD,AMERICAN CENTURY BROKERAGE INC
ACFE,AMERICAN CLASSIC FINL CO
ADFG,AMERICAN DIVERSIFIED FINANCIAL GROUP LLC
HRBF,"AMERICAN ENTERPRISE INVESTMENT SERVICES,"
IDSI,"AMERICAN ENTERPRISE INVESTMENT SERVICES,"
AECI,"AMERICAN EQUITY CAPITAL, INC."
AFAI,"AMERICAN FINANCIAL ASSOCIATES, INC."
AHSI,AMERICAN HERITAGE SEC INC
AISG,AMERICAN INDEPENDENT SEC GROUP LLC
AMIC,AMERICAN INVESTORS CO
AIGI,"AMERICAN INVESTORS GROUP, INC."
AMMS,AMERICAN MUNICIPAL SECURITIES INC
AMNN,AMERICAN NTWK SEC
APFS,"AMERICAN PORTFOLIOS FINANCIAL SERVICES,"
ARMC,AMERICAN RESEARCH & MANAGEMENT CO.
PEER,"AMERICAN TRUST INVESTMENT SERVICES, INC."
AWMI,AMERICAN WEALTH MGMT INC
ACEL,AMERICAS CHOICE EQUITIES LLC
ACEP,AMERICAS CHOICE EQUITIES LLC
AEFA,"AMERIPRISE FINANCIAL SERVICES, INC."
BLNI,AMERITAS INVESTMENT CORP.
FOMA,"AMERITRADE, INC."
